,Date,Open,High,Low,Close,Adj Close,Volume
120,2000-06-20,22817.900391,23102.199219,21680.599609,22320.300781,21092.632813,34466
121,2000-06-21,21893.800781,22675.699219,21680.599609,22675.699219,21428.484375,68651
122,2000-06-22,23386.599609,23386.599609,22462.5,23031.099609,21764.335938,97209
123,2000-06-23,22107.099609,24097.400391,22107.099609,22889.0,21630.052734,199483
124,2000-06-26,23102.199219,24168.5,22569.099609,24026.300781,22704.796875,121969
125,2000-06-27,24026.300781,25519.099609,23742.0,24026.300781,22704.796875,113809
126,2000-06-28,23884.199219,24666.099609,23884.199219,24666.099609,23309.408203,86236
127,2000-06-29,25234.699219,25234.699219,23919.699219,24239.599609,22906.365234,45299
128,2000-06-30,24523.900391,25092.599609,23742.0,24879.300781,23510.880859,76670
129,2000-07-03,24239.599609,25590.199219,24239.599609,25092.599609,23712.449219,63306
130,2000-07-04,25767.900391,26087.699219,25234.699219,25448.0,24048.302734,45299
131,2000-07-05,25448.0,25590.199219,24523.900391,25448.0,24048.302734,48816
132,2000-07-06,25519.099609,27367.300781,25128.099609,26585.300781,25123.048828,178662
133,2000-07-07,27011.800781,27154.0,26301.0,27011.800781,25526.091797,104103
134,2000-07-10,27722.699219,27722.699219,26443.199219,27011.800781,25526.091797,101570
135,2000-07-11,27011.800781,27011.800781,26372.099609,26514.199219,25055.859375,73716
136,2000-07-12,26514.199219,27935.900391,26087.699219,26869.699219,25391.804688,139976
137,2000-07-13,26869.699219,26940.800781,26301.0,26407.599609,24955.119141,64994
138,2000-07-14,25945.599609,26407.599609,25341.400391,25803.400391,24384.154297,75404
139,2000-07-17,25803.400391,25803.400391,25803.400391,25803.400391,24384.154297,0
140,2000-07-18,25021.5,25732.300781,24879.300781,24950.400391,23578.070313,48253
141,2000-07-19,25021.5,25732.300781,24879.300781,24950.400391,23578.070313,48253
142,2000-07-20,24523.900391,26158.800781,23813.099609,24666.099609,23309.408203,79062
143,2000-07-21,24523.900391,25234.699219,24523.900391,24950.400391,23578.070313,35029
144,2000-07-24,24950.400391,25448.0,24559.400391,24950.400391,23578.070313,42626
145,2000-07-25,25519.099609,26016.699219,24595.0,25625.699219,24216.228516,142789
146,2000-07-26,25590.199219,28220.300781,25590.199219,27367.300781,25862.035156,208064
147,2000-07-27,27509.400391,28042.599609,26727.5,27331.699219,25828.392578,102414
148,2000-07-28,26798.599609,28362.400391,26798.599609,27011.800781,25526.091797,119577
149,2000-07-31,26869.699219,27011.800781,26301.0,26869.699219,25391.804688,75826
150,2000-08-01,26656.400391,27722.699219,26656.400391,27722.699219,26197.890625,77092
151,2000-08-02,28504.599609,30210.599609,28433.5,29499.800781,27877.246094,195122
152,2000-08-03,30992.5,30992.5,28788.900391,28788.900391,27205.447266,219881
153,2000-08-04,29073.300781,29073.300781,27651.599609,28220.300781,26668.123047,96084
154,2000-08-07,27509.400391,30139.5,27438.300781,29499.800781,27877.246094,84970
155,2000-08-08,29002.199219,30068.400391,29002.199219,29997.400391,28347.476563,80890
156,2000-08-09,30566.0,32627.5,30210.599609,30921.400391,29220.652344,127877
157,2000-08-10,30281.699219,32627.5,29855.199219,32627.5,30832.914063,101430
158,2000-08-11,32627.5,33054.0,31632.300781,32343.099609,30564.15625,67526
159,2000-08-14,33196.101563,34475.601563,31632.300781,31632.300781,29892.451172,139132
