,Date,Open,High,Low,Close,Adj Close,Volume
80,2000-04-25,21111.900391,21325.099609,20756.5,20969.699219,19816.320313,22227
81,2000-04-26,20969.699219,21538.400391,20187.800781,20543.199219,19413.279297,33200
82,2000-04-27,20258.900391,21040.800781,19832.400391,20258.900391,19144.613281,27010
83,2000-04-28,20258.900391,20614.300781,19903.5,20543.199219,19413.279297,28558
84,2000-05-01,20543.199219,20543.199219,20543.199219,20543.199219,19413.279297,0
85,2000-05-02,20187.800781,21183.0,20187.800781,21183.0,20017.882813,36999
86,2000-05-03,21325.099609,21822.699219,20827.5,21183.0,20017.882813,55990
87,2000-05-04,21325.099609,24346.199219,20969.699219,23813.099609,22503.324219,283609
88,2000-05-05,23813.099609,23813.099609,23813.099609,23813.099609,22503.324219,0
89,2000-05-08,24026.300781,24026.300781,20614.300781,22107.099609,20891.160156,131816
90,2000-05-09,22107.099609,22107.099609,22107.099609,22107.099609,20891.160156,0
91,2000-05-10,21254.099609,21893.800781,20898.599609,21822.699219,20622.402344,35170
92,2000-05-11,21822.699219,21822.699219,21822.699219,21822.699219,20622.402344,0
93,2000-05-12,21396.199219,22107.099609,21183.0,21680.599609,20488.117188,39390
94,2000-05-15,21502.800781,22178.099609,21111.900391,21325.099609,20152.169922,41641
95,2000-05-16,21964.900391,21964.900391,20863.099609,21680.599609,20488.117188,57819
96,2000-05-17,21680.599609,22036.0,20614.300781,20614.300781,19480.46875,39249
97,2000-05-18,19903.5,20258.900391,19050.5,20187.800781,19077.423828,31653
98,2000-05-19,20472.099609,20472.099609,19228.199219,19761.300781,18674.380859,30246
99,2000-05-22,19405.900391,19690.199219,17557.699219,17557.699219,16591.984375,58382
100,2000-05-23,17557.699219,17913.099609,16775.800781,17557.699219,16591.984375,39671
101,2000-05-24,17664.300781,18481.800781,16846.900391,17415.5,16457.609375,57256
102,2000-05-25,18339.599609,19157.099609,17628.800781,18695.0,17666.732422,219319
103,2000-05-26,18695.0,20116.699219,18126.400391,18979.400391,17935.490234,95521
104,2000-05-29,18268.5,19334.800781,18268.5,19192.599609,18136.962891,59929
105,2000-05-30,19192.599609,19192.599609,19192.599609,19192.599609,18136.962891,0
106,2000-05-31,19761.300781,21183.0,19761.300781,21183.0,20017.882813,96787
107,2000-06-01,21325.099609,21325.099609,20685.400391,21289.599609,20118.623047,37983
108,2000-06-02,21467.300781,21893.800781,20685.400391,20969.699219,19816.320313,100586
109,2000-06-05,20969.699219,23813.099609,20898.599609,22320.300781,21092.632813,112262
110,2000-06-06,22320.300781,22320.300781,22320.300781,22320.300781,21092.632813,0
111,2000-06-07,22746.800781,23457.599609,21822.699219,22889.0,21630.052734,118311
112,2000-06-08,23031.099609,23457.599609,21325.099609,21325.099609,20152.169922,75123
113,2000-06-09,21893.800781,21893.800781,21040.800781,21396.199219,20219.359375,61758
114,2000-06-12,22036.0,24310.699219,21467.300781,23457.599609,22167.376953,393620
115,2000-06-13,23457.599609,23457.599609,21680.599609,22036.0,20823.970703,139272
116,2000-06-14,22391.400391,22533.599609,21396.199219,22462.5,21227.011719,60492
117,2000-06-15,22604.599609,22604.599609,21396.199219,21573.900391,20387.287109,54583
118,2000-06-16,20401.0,21538.400391,20401.0,21111.900391,19950.697266,51207
119,2000-06-19,19974.5,22178.099609,19974.5,22036.0,20823.970703,51348
