,Date,Open,High,Low,Close,Adj Close,Volume
200,2000-10-10,29428.699219,30210.599609,28149.199219,29997.400391,28347.476563,212425
201,2000-10-11,29499.800781,29819.599609,27011.800781,27722.699219,26197.890625,161078
202,2000-10-12,26443.199219,27722.699219,26443.199219,26798.599609,25324.617188,143211
203,2000-10-13,25376.900391,25732.300781,23315.5,24879.300781,23510.880859,177537
204,2000-10-16,24879.300781,24879.300781,24879.300781,24879.300781,23510.880859,0
205,2000-10-17,26656.400391,27082.900391,24879.300781,24879.300781,23510.880859,112262
206,2000-10-18,25021.5,25021.5,23351.0,24310.699219,22973.554688,101148
207,2000-10-19,23173.300781,24737.199219,23173.300781,24168.5,22839.177734,86096
208,2000-10-20,24310.699219,25092.599609,24168.5,24630.5,23275.767578,87362
209,2000-10-23,24879.300781,24879.300781,23457.599609,24097.400391,22771.990234,83985
210,2000-10-24,24914.900391,25448.0,24452.800781,25128.099609,23745.998047,164172
211,2000-10-25,24914.900391,25874.5,24666.099609,25590.199219,24182.679688,152496
212,2000-10-26,25590.199219,26301.0,24950.400391,25661.199219,24249.775391,107479
213,2000-10-27,25661.199219,25661.199219,25661.199219,25661.199219,24249.775391,0
214,2000-10-30,25448.0,25590.199219,24666.099609,24737.199219,23376.595703,58382
215,2000-10-31,23813.099609,25590.199219,23528.699219,25163.699219,23779.638672,105087
216,2000-11-01,24879.300781,26443.199219,24879.300781,26301.0,24854.384766,151371
217,2000-11-02,25803.400391,26585.300781,25803.400391,25874.5,24451.34375,90035
218,2000-11-03,25590.199219,26585.300781,25590.199219,26549.800781,25089.501953,147010
219,2000-11-06,26656.400391,26869.699219,26087.699219,26087.699219,24652.818359,85674
220,2000-11-07,26656.400391,26656.400391,25519.099609,25732.300781,24316.966797,100726
221,2000-11-08,25839.0,25945.599609,25163.699219,25234.699219,23846.736328,124923
222,2000-11-09,25234.699219,25590.199219,25021.5,25448.0,24048.302734,85955
223,2000-11-10,25590.199219,26301.0,24879.300781,26301.0,24854.384766,121547
224,2000-11-13,25945.599609,26087.699219,25661.199219,25661.199219,24249.775391,35029
225,2000-11-14,25412.5,26514.199219,25412.5,26301.0,24854.384766,142508
226,2000-11-15,26443.199219,26940.800781,26158.800781,26301.0,24854.384766,89050
227,2000-11-16,26301.0,27438.300781,26301.0,27118.5,25626.921875,89894
228,2000-11-17,27154.0,27154.0,26301.0,27011.800781,25526.091797,69355
229,2000-11-20,27047.400391,27047.400391,26514.199219,26727.5,25257.427734,33904
230,2000-11-21,26301.0,27580.5,26301.0,26763.0,25290.976563,148557
231,2000-11-22,26905.199219,28362.400391,26834.099609,27580.5,26063.507813,341709
232,2000-11-23,27545.0,27545.0,26301.0,26407.599609,24955.119141,101008
233,2000-11-24,27651.599609,27651.599609,26443.199219,26905.199219,25425.349609,40938
234,2000-11-27,26443.199219,27580.5,26443.199219,27154.0,25660.46875,89191
235,2000-11-28,27580.5,27687.099609,27011.800781,27154.0,25660.46875,91441
236,2000-11-29,27011.800781,27011.800781,26301.0,26869.699219,25391.804688,65838
237,2000-11-30,26940.800781,27082.900391,26158.800781,26585.300781,25123.048828,69636
238,2000-12-01,26301.0,26976.300781,25590.199219,26976.300781,25492.542969,202015
239,2000-12-04,26976.300781,27189.5,26087.699219,26656.400391,25190.236328,91723
